emoticon,cnt
_Ghana_,76
_drop_of_blood_,76
_wind_face_,76
_woman_gesturing_NO_,75
_hospital_,75
_old_key_,75
_last_quarter_moon_face_,75
_balance_scale_,75
_flag_in_hole_,75
_man_gesturing_NO_medium-dark_skin_tone_,74
_necktie_,74
_hand_with_fingers_splayed_light_skin_tone_,74
_man_gesturing_NO_,74
_oncoming_police_car_,74
_Wales_,74
_speaker_low_volume_,74
_woman_raising_hand_medium-dark_skin_tone_,74
_ballot_box_with_ballot_,73
_bow_and_arrow_,73
_man_gesturing_OK_,73
_person_raising_hand_light_skin_tone_,72
_downwards_button_,72
_baby_light_skin_tone_,72
_couple_with_heart_,72
_person_raising_hand_medium-light_skin_tone_,72
_palms_up_together_medium-dark_skin_tone_,71
_raised_hand_medium-dark_skin_tone_,71
_owl_,71
_victory_hand_dark_skin_tone_,71
_busts_in_silhouette_,71
_cigarette_,71
_hot_springs_,70
_glasses_,70
_princess_light_skin_tone_,70
_counterclockwise_arrows_button_,70
_Ukraine_,70
_military_medal_,70
_Hong_Kong_SAR_China_,70
_fountain_pen_,70
_steaming_bowl_,70
_person_facepalming_medium_skin_tone_,70
_backhand_index_pointing_up_light_skin_tone_,69
_pen_,69
_police_officer_,69
_palms_up_together_medium_skin_tone_,69
_person_cartwheeling_,68
_girl_,68
_family_man_woman_girl_boy_,68
_broccoli_,68
_panda_,68
_black_small_square_,68
_radio_,67
_multiply_,67
_man_bowing_,67
_man_,67
_woman_tipping_hand_medium-dark_skin_tone_,67
_index_pointing_up_medium_skin_tone_,67
_infinity_,67
_euro_banknote_,67
_woman_fairy_,66
_OK_button_,66
_European_Union_,66
_small_orange_diamond_,66
_yellow_circle_,66
_cloud_with_snow_,66
_Cuba_,66
_man_technologist_,66
_woman_standing_medium_skin_tone_,66
_mushroom_,66
_mechanical_arm_,66
_videocassette_,65
_sunrise_over_mountains_,65
_woman_mage_,64
_diamond_suit_,64
_spouting_whale_,64
_backhand_index_pointing_down_dark_skin_tone_,64
_joker_,64
_wheelchair_symbol_,64
_hourglass_done_,63
_briefcase_,63
_Portugal_,63
_volcano_,63
_love-you_gesture_medium-dark_skin_tone_,63
_ant_,63
_woman_dancing_dark_skin_tone_,63
_Netherlands_,63
_no_one_under_eighteen_,62
_repeat_button_,62
_bed_,62
_person_surfing_,61
_star_and_crescent_,61
_Colombia_,61
_pinched_fingers_light_skin_tone_,61
_crocodile_,61
_man_dancing_medium-dark_skin_tone_,60
_keycap_5_,60
_boy_,60
_roller_coaster_,60
_man_gesturing_OK_medium-dark_skin_tone_,60
_man_gesturing_OK_medium_skin_tone_,60
_Sudan_,60
_bus_,59
_castle_,59
_person_facepalming_medium-dark_skin_tone_,59
_teddy_bear_,59
_man_mage_,59
_shuffle_tracks_button_,58
_pirate_flag_,58
_mountain_,58
_yen_banknote_,58
_Armenia_,58
_snow-capped_mountain_,58
_man_dancing_medium_skin_tone_,57
_person_in_bed_,57
_pencil_,57
_salt_,57
_baby_bottle_,57
_man_tipping_hand_medium_skin_tone_,57
_fishing_pole_,57
_leopard_,57
_dvd_,56
_Tokyo_tower_,56
_sailboat_,56
_construction_worker_,56
_floppy_disk_,56
_Japanese_symbol_for_beginner_,55
_school_,55
_bone_,55
_dna_,55
_woman_gesturing_NO_medium-dark_skin_tone_,55
_Liberia_,55
_cloud_with_lightning_and_rain_,55
_New_Zealand_,55
_person_getting_massage_,54
_stop_button_,54
_lady_beetle_,54
_radioactive_,53
_woman_facepalming_dark_skin_tone_,53
_woman_cartwheeling_,53
_ping_pong_,53
_men_holding_hands_,53
_person_golfing_,53
_tooth_,52
_thermometer_,52
_framed_picture_,52
_prince_light_skin_tone_,52
_cross_mark_button_,52
_whale_,52
_new_moon_,52
_nose_,52
_baby_medium-light_skin_tone_,51
_man_walking_,51
_mouse_face_,51
_ice_,51
_mage_,51
_timer_clock_,51
_handbag_,51
_couch_and_lamp_,51
_game_die_,51
_kiss_,51
_UP!_button_,50
_COOL_button_,50
_pregnant_woman_,50
_Jordan_,49
_Switzerland_,49
_e-mail_,49
_Denmark_,49
_man_cook_,49
_newspaper_,49
_keycap_4_,49
_crossed_fingers_dark_skin_tone_,49
_zebra_,49
_yellow_square_,49
_person_gesturing_NO_medium_skin_tone_,49
_person_standing_,49
_fast-forward_button_,49
_NEW_button_,48
_reminder_ribbon_,48
_black_large_square_,48
_file_folder_,48
_person_shrugging_medium-dark_skin_tone_,48
_man_tipping_hand_medium-light_skin_tone_,48
_dragon_face_,48
_anchor_,48
_woman_kneeling_,48
_keyboard_,48
_unlocked_,47
_man_gesturing_NO_light_skin_tone_,47
_shrimp_,47
_Kuwait_,47
_person_in_suit_levitating_,46
_calendar_,46
_saxophone_,46
_woman_standing_medium-dark_skin_tone_,46
_Haiti_,45
_no_mobile_phones_,45
_man_raising_hand_medium_skin_tone_,45
_man_superhero_,45
_shield_,45
_blue_square_,45
_ON!_arrow_,45
_green_square_,45
_razor_,45
_printer_,45
_Indonesia_,45
_Clipperton_Island_,45
_sushi_,45
_Malaysia_,45
_man_dancing_medium-light_skin_tone_,45
_shower_,44
_red_square_,44
_seat_,44
_woman_getting_massage_,44
_kiss_woman_woman_,44
_woman_running_medium_skin_tone_,44
_closed_umbrella_,44
_paintbrush_,43
_satellite_,43
_Iraq_,43
_stadium_,43
_volleyball_,43
_woman_bowing_medium_skin_tone_,43
_police_car_,43
_first_quarter_moon_face_,42
_blowfish_,42
_woman_gesturing_NO_medium-light_skin_tone_,42
_hand_with_fingers_splayed_medium-light_skin_tone_,42
_cricket_game_,42
_umbrella_on_ground_,42
_bento_box_,42
_soap_,42
_coconut_,42
_white_medium_square_,42
_down-right_arrow_,41
_Romania_,41
_airplane_arrival_,41
_sunset_,41
_Azerbaijan_,41
_gear_,41
_poodle_,41
_pinched_fingers_medium_skin_tone_,41
_waning_crescent_moon_,41
_man_tipping_hand_medium-dark_skin_tone_,41
_person_shrugging_medium_skin_tone_,40
_spoon_,40
_scorpion_,40
_open_mailbox_with_raised_flag_,40
_oncoming_fist_dark_skin_tone_,40
_incoming_envelope_,40
_spade_suit_,40
_foot_,40
_small_airplane_,40
_trident_emblem_,39
_old_woman_,39
_princess_medium_skin_tone_,39
_church_,39
_woman_lifting_weights_,39
_lobster_,39
_Santa_Claus_medium-dark_skin_tone_,39
_telescope_,38
