emoticon,cnt
_play_button_,76
_mobile_phone_,75
_waving_hand_light_skin_tone_,75
_bomb_,75
_mobile_phone_with_arrow_,75
_prohibited_,75
_microphone_,75
_nail_polish_light_skin_tone_,74
_victory_hand_medium-light_skin_tone_,74
_chequered_flag_,74
_pile_of_poo_,73
_beach_with_umbrella_,73
_backhand_index_pointing_left_light_skin_tone_,72
_sleeping_face_,71
_woman_dancing_medium-light_skin_tone_,71
_tulip_,71
_warning_,70
_deciduous_tree_,69
_money_bag_,69
_full_moon_face_,68
_mouth_,68
_water_pistol_,68
_hourglass_not_done_,66
_fearful_face_,66
_fish_,66
_woman_tipping_hand_medium-light_skin_tone_,66
_paw_prints_,66
_police_car_light_,66
_man_dancing_,66
_zipper-mouth_face_,66
_automobile_,65
_cat_,65
_man_raising_hand_,64
_person_running_,64
_strawberry_,64
_lollipop_,63
_money_with_wings_,63
_crossed_fingers_,63
_face_with_crossed-out_eyes_,62
_snake_,61
_water_wave_,61
_1st_place_medal_,61
_running_shoe_,61
_kissing_face_with_smiling_eyes_,61
_folded_hands_medium_skin_tone_,59
_woman_tipping_hand_light_skin_tone_,59
_sign_of_the_horns_light_skin_tone_,59
_sheaf_of_rice_,58
_front-facing_baby_chick_,58
_speaking_head_,58
_bright_button_,58
_oncoming_fist_medium-light_skin_tone_,58
_skull_and_crossbones_,57
_globe_showing_Americas_,57
_euro_banknote_,57
_candy_,56
_round_pushpin_,56
_cherries_,56
_heart_decoration_,56
_ribbon_,55
_angry_face_with_horns_,54
_snowman_,54
_hot_face_,54
_man_facepalming_medium-light_skin_tone_,53
_person_tipping_hand_medium-light_skin_tone_,53
_woman_raising_hand_medium-light_skin_tone_,53
_loudspeaker_,53
_backhand_index_pointing_down_medium-light_skin_tone_,53
_woman_health_worker_,52
_magnifying_glass_tilted_right_,52
_package_,52
_chocolate_bar_,52
_calendar_,51
_red_circle_,50
_cowboy_hat_face_,50
_love-you_gesture_,50
_musical_score_,50
_shallow_pan_of_food_,49
_raised_hand_light_skin_tone_,49
_horse_,49
_clown_face_,49
_cup_with_straw_,49
_skull_,49
_index_pointing_up_,49
_dollar_banknote_,48
_robot_,48
_palm_tree_,48
_unicorn_,47
_crossed_swords_,47
_woman_running_,47
_woman_facepalming_medium_skin_tone_,45
_glasses_,45
_laptop_,45
_fallen_leaf_,45
_shamrock_,45
_pizza_,45
_cookie_,44
_cat_with_tears_of_joy_,44
_telephone_receiver_,44
_call_me_hand_light_skin_tone_,44
_clinking_glasses_,44
_man_health_worker_,44
_high-heeled_shoe_,44
_thumbs_up_medium_skin_tone_,43
_milky_way_,43
_cloud_,43
_love_letter_,43
_bell_,43
_raised_fist_,42
_sport_utility_vehicle_,42
_couple_with_heart_,42
_money-mouth_face_,41
_ring_,41
_man_running_,41
_maple_leaf_,41
_volleyball_,41
_recycling_symbol_,41
_lady_beetle_,40
_headphone_,40
_shower_,40
_honeybee_,40
_pot_of_food_,39
_crescent_moon_,39
_woman_gesturing_OK_light_skin_tone_,39
_oncoming_automobile_,39
_musical_note_,39
_evergreen_tree_,39
_clinking_beer_mugs_,38
_grapes_,38
_woman_dancing_medium_skin_tone_,38
_cold_face_,37
_middle_finger_,37
_watermelon_,37
_tongue_,37
_clipboard_,37
_woman_fairy_,37
_battery_,36
_alien_,36
_basketball_,36
_dashing_away_,35
_magnifying_glass_tilted_left_,35
_person_shrugging_,35
_speaker_high_volume_,35
_dog_,35
_weary_cat_,34
_love-you_gesture_light_skin_tone_,34
_brown_heart_,34
_woman_and_man_holding_hands_,34
_green_apple_,33
_link_,33
_crystal_ball_,33
_ice_cream_,33
_comet_,33
_backhand_index_pointing_up_,32
_white_circle_,32
_tomato_,32
_snowman_without_snow_,32
_avocado_,32
_women_with_bunny_ears_,31
_fireworks_,31
_shaved_ice_,31
_writing_hand_light_skin_tone_,31
_film_frames_,31
_brain_,31
_goblin_,31
_man_dancing_light_skin_tone_,31
_bullseye_,31
_mage_,30
_delivery_truck_,30
_face_with_thermometer_,30
_person_gesturing_OK_,30
_woman_fairy_light_skin_tone_,30
_crossed_fingers_light_skin_tone_,30
_kissing_face_,30
_face_with_head-bandage_,29
_wilted_flower_,29
_jack-o-lantern_,29
_broccoli_,29
_spiral_calendar_,29
_peach_,29
_beer_mug_,29
_hourglass_done_,29
_penguin_,28
_speech_balloon_,28
_light_bulb_,28
_hear-no-evil_monkey_,28
_selfie_,28
_tumbler_glass_,28
_radio_button_,28
_girl_,28
_carrot_,28
_motor_scooter_,28
_turtle_,28
_mechanical_arm_,27
_left-facing_fist_light_skin_tone_,27
_flexed_biceps_dark_skin_tone_,27
_footprints_,27
_person_gesturing_NO_,27
_memo_,27
_new_moon_face_,27
_frowning_face_with_open_mouth_,27
_wine_glass_,27
_telephone_,27
_rainbow_flag_,27
_yawning_face_,27
_cyclone_,27
